,time,close,high,low,open,volumefrom,volumeto,conversionType,conversionSymbol
55,1571915760,7421.83,7426.74,7421.83,7425.95,13.75,102077.68,force_direct,
56,1571915820,7429.14,7435.84,7421.83,7421.83,39.03,289989.74,force_direct,
57,1571915880,7423.8,7429.14,7422.54,7429.14,19.18,142374.14,force_direct,
58,1571915940,7424.09,7426.98,7417.38,7423.8,41.17,305641.2,force_direct,
59,1571916000,7419.1,7426.05,7417.89,7424.09,28.67,212774.02,force_direct,
60,1571916060,7420.01,7422.57,7417.43,7419.1,23.87,177089.26,force_direct,
61,1571916120,7417.69,7420.33,7417.08,7420.01,25.48,189058.65,force_direct,
62,1571916180,7426.2,7428.53,7417.14,7417.69,43.9,325762.79,force_direct,
63,1571916240,7419.0,7431.98,7419.0,7426.2,18.85,139987.83,force_direct,
64,1571916300,7420.97,7427.68,7418.42,7419.0,13.51,100314.17,force_direct,
65,1571916360,7419.15,7423.59,7418.79,7420.97,20.71,153720.18,force_direct,
66,1571916420,7420.05,7423.88,7418.76,7419.15,17.81,132111.57,force_direct,
67,1571916480,7415.02,7421.29,7415.02,7420.05,29.51,218941.01,force_direct,
68,1571916540,7415.0,7417.46,7413.37,7415.02,22.55,167196.5,force_direct,
69,1571916600,7418.98,7419.11,7413.47,7415.0,24.01,178086.36,force_direct,
70,1571916660,7419.37,7420.0,7414.99,7418.98,23.95,177644.75,force_direct,
71,1571916720,7419.97,7419.97,7416.69,7419.37,21.47,159299.84,force_direct,
72,1571916780,7418.01,7420.0,7417.32,7419.97,25.71,190720.58,force_direct,
73,1571916840,7419.12,7420.0,7415.45,7418.01,33.38,247594.7,force_direct,
74,1571916900,7419.12,7422.77,7418.23,7419.12,25.98,192747.0,force_direct,
75,1571916960,7418.75,7420.96,7418.0,7419.12,17.45,129454.31,force_direct,
76,1571917020,7422.83,7426.78,7418.04,7418.75,35.32,262223.92,force_direct,
77,1571917080,7423.24,7425.89,7421.91,7422.83,17.41,129214.74,force_direct,
78,1571917140,7427.72,7431.26,7421.99,7423.24,52.09,386731.15,force_direct,
79,1571917200,7423.95,7427.72,7420.15,7427.72,29.38,218111.39,force_direct,
80,1571917260,7430.34,7431.87,7420.78,7423.95,39.79,295421.52,force_direct,
81,1571917320,7422.12,7431.73,7422.07,7430.34,18.65,138455.08,force_direct,
82,1571917380,7424.01,7428.84,7422.12,7422.12,12.59,93447.44,force_direct,
83,1571917440,7426.24,7428.0,7422.45,7424.01,5.873,43610.78,force_direct,
84,1571917500,7423.69,7427.49,7423.13,7426.24,9.631,71507.43,force_direct,
85,1571917560,7425.12,7426.53,7422.23,7423.69,15.19,112741.68,force_direct,
86,1571917620,7422.57,7425.76,7422.09,7425.12,12.76,94699.83,force_direct,
87,1571917680,7423.62,7424.87,7422.09,7422.57,14.78,109728.09,force_direct,
88,1571917740,7422.13,7423.97,7422.09,7423.62,8.579,63681.63,force_direct,
89,1571917800,7416.54,7422.46,7415.73,7422.13,29.11,215998.0,force_direct,
90,1571917860,7421.3,7429.0,7415.75,7416.54,31.51,233914.15,force_direct,
91,1571917920,7416.7,7422.56,7416.11,7421.3,8.277,61411.83,force_direct,
92,1571917980,7420.42,7426.19,7416.11,7416.7,19.67,146028.36,force_direct,
93,1571918040,7418.8,7421.65,7417.74,7420.42,13.67,101396.6,force_direct,
94,1571918100,7425.92,7427.78,7418.7,7418.8,13.4,99443.39,force_direct,
95,1571918160,7427.94,7428.95,7424.0,7425.92,16.91,125567.49,force_direct,
96,1571918220,7432.26,7435.83,7426.8,7427.94,30.99,230271.36,force_direct,
97,1571918280,7427.32,7434.61,7425.05,7432.26,15.12,112345.97,force_direct,
98,1571918340,7421.83,7428.25,7419.03,7427.32,21.82,161960.9,force_direct,
99,1571918400,7421.43,7428.43,7421.09,7421.83,13.16,97710.26,force_direct,
100,1571918460,7427.97,7428.99,7420.06,7421.43,15.85,117636.69,force_direct,
101,1571918520,7425.58,7428.48,7421.93,7427.97,16.8,124730.37,force_direct,
102,1571918580,7426.76,7430.9,7422.7,7425.58,15.84,117648.86,force_direct,
103,1571918640,7425.72,7427.5,7424.4,7426.76,8.294,61586.46,force_direct,
104,1571918700,7423.69,7427.29,7422.07,7425.72,19.15,142194.03,force_direct,
105,1571918760,7424.45,7427.54,7423.33,7423.69,17.34,128754.68,force_direct,
106,1571918820,7430.95,7431.32,7422.81,7424.45,40.93,303957.85,force_direct,
107,1571918880,7430.58,7440.0,7429.53,7430.95,35.86,266612.22,force_direct,
108,1571918940,7437.45,7438.41,7429.63,7430.58,29.52,219451.01,force_direct,
109,1571919000,7434.4,7440.28,7434.02,7437.45,23.42,174197.35,force_direct,
110,1571919060,7435.95,7439.85,7434.23,7434.4,15.13,112492.94,force_direct,
111,1571919120,7435.76,7440.0,7432.05,7435.95,25.08,186542.83,force_direct,
112,1571919180,7441.66,7443.33,7435.02,7435.76,20.93,155716.25,force_direct,
113,1571919240,7443.48,7446.49,7439.52,7441.66,17.32,128917.34,force_direct,
114,1571919300,7447.45,7449.0,7443.48,7443.48,37.23,277258.88,force_direct,
115,1571919360,7443.87,7447.59,7440.01,7447.45,23.17,172484.78,force_direct,
116,1571919420,7438.74,7447.39,7436.8,7443.87,33.95,252647.95,force_direct,
117,1571919480,7435.82,7440.55,7435.0,7438.74,18.97,141049.05,force_direct,
118,1571919540,7435.87,7437.68,7435.0,7435.82,9.06,67372.42,force_direct,
119,1571919600,7441.1,7447.73,7435.87,7435.87,25.65,190904.3,force_direct,
120,1571919660,7444.28,7446.57,7436.97,7441.1,13.29,98883.75,force_direct,
121,1571919720,7444.92,7448.99,7441.77,7444.28,18.64,138826.03,force_direct,
122,1571919780,7448.96,7449.0,7443.09,7444.92,20.52,152764.31,force_direct,
123,1571919840,7449.26,7450.0,7444.29,7448.96,15.84,117988.61,force_direct,
124,1571919900,7441.08,7450.0,7440.81,7449.26,21.44,159673.68,force_direct,
125,1571919960,7438.52,7444.06,7430.69,7441.08,49.11,365218.01,force_direct,
126,1571920020,7446.72,7446.88,7437.94,7438.52,19.76,147106.78,force_direct,
127,1571920080,7444.47,7447.78,7443.47,7446.72,10.88,81034.54,force_direct,
128,1571920140,7444.03,7445.54,7443.47,7444.47,6.804,50653.86,force_direct,
129,1571920200,7445.74,7448.19,7443.56,7444.03,5.677,42270.4,force_direct,
130,1571920260,7442.75,7445.74,7442.0,7445.74,17.01,126589.58,force_direct,
131,1571920320,7445.81,7447.35,7442.73,7442.75,6.592,49086.41,force_direct,
132,1571920380,7445.92,7447.0,7440.0,7445.81,12.78,95151.59,force_direct,
133,1571920440,7448.91,7453.01,7445.42,7445.92,24.99,186189.71,force_direct,
134,1571920500,7449.99,7453.68,7447.99,7448.91,17.81,132690.55,force_direct,
135,1571920560,7449.08,7450.0,7445.74,7449.99,12.23,91128.9,force_direct,
136,1571920620,7450.5,7451.84,7446.0,7449.08,6.667,49660.19,force_direct,
137,1571920680,7450.69,7450.74,7447.75,7450.5,6.476,48244.83,force_direct,
138,1571920740,7449.88,7451.83,7447.75,7450.69,9.745,72597.46,force_direct,
139,1571920800,7450.5,7450.5,7446.56,7449.88,7.468,55622.94,force_direct,
140,1571920860,7455.96,7457.61,7449.34,7450.5,12.37,92177.95,force_direct,
141,1571920920,7459.15,7461.59,7455.96,7455.96,21.25,158486.74,force_direct,
142,1571920980,7459.45,7463.75,7453.25,7459.15,32.26,240612.32,force_direct,
143,1571921040,7455.34,7459.45,7450.02,7459.45,19.18,142997.18,force_direct,
144,1571921100,7456.34,7458.27,7451.29,7455.34,28.53,212638.93,force_direct,
145,1571921160,7454.24,7457.42,7450.0,7456.34,19.14,142680.78,force_direct,
146,1571921220,7455.23,7455.86,7450.32,7454.24,16.7,124516.87,force_direct,
147,1571921280,7452.76,7457.73,7452.76,7455.23,12.51,93297.67,force_direct,
148,1571921340,7453.97,7456.67,7452.48,7452.76,11.11,82831.44,force_direct,
149,1571921400,7452.86,7457.35,7451.76,7453.97,15.09,112458.5,force_direct,
150,1571921460,7448.42,7454.22,7448.42,7452.86,34.48,256951.99,force_direct,
151,1571921520,7444.31,7449.5,7441.16,7448.42,19.28,143546.16,force_direct,
152,1571921580,7446.32,7448.06,7442.97,7444.31,18.11,134848.52,force_direct,
153,1571921640,7443.58,7446.77,7441.41,7446.32,24.72,184040.72,force_direct,
154,1571921700,7441.79,7443.72,7440.02,7443.58,18.79,139830.85,force_direct,
155,1571921760,7443.49,7444.46,7440.91,7441.79,15.4,114585.13,force_direct,
156,1571921820,7446.78,7449.16,7441.18,7443.49,11.91,88674.71,force_direct,
157,1571921880,7443.11,7447.65,7440.16,7446.78,11.47,85401.58,force_direct,
158,1571921940,7442.77,7444.83,7440.32,7443.11,10.12,75316.66,force_direct,
159,1571922000,7445.84,7447.91,7441.05,7442.77,22.5,167470.31,force_direct,
160,1571922060,7445.01,7448.05,7445.01,7445.84,10.63,79122.18,force_direct,
161,1571922120,7447.51,7453.67,7445.01,7445.01,13.67,101826.86,force_direct,
162,1571922180,7450.09,7451.62,7447.11,7447.51,11.7,87132.58,force_direct,
163,1571922240,7456.9,7456.93,7450.09,7450.09,13.91,103698.38,force_direct,
164,1571922300,7452.7,7457.5,7451.63,7456.9,18.56,138360.53,force_direct,
165,1571922360,7456.74,7458.68,7452.7,7452.7,9.834,73322.91,force_direct,
166,1571922420,7451.74,7458.11,7450.0,7456.74,21.81,162576.02,force_direct,
167,1571922480,7450.16,7453.18,7445.21,7451.74,36.05,268555.2,force_direct,
168,1571922540,7446.61,7453.4,7445.07,7450.16,13.53,100764.22,force_direct,
169,1571922600,7447.0,7449.19,7445.53,7446.61,28.08,209113.75,force_direct,
170,1571922660,7447.78,7449.4,7446.56,7447.0,19.19,142927.22,force_direct,
171,1571922720,7447.75,7453.82,7446.72,7447.78,32.3,240652.08,force_direct,
172,1571922780,7445.73,7449.84,7445.01,7447.75,18.21,135621.13,force_direct,
173,1571922840,7444.77,7445.74,7443.33,7445.73,15.02,111804.09,force_direct,
174,1571922900,7440.0,7444.77,7440.0,7444.77,41.72,310553.46,force_direct,
175,1571922960,7439.58,7441.14,7436.68,7440.0,52.93,393780.25,force_direct,
176,1571923020,7438.45,7439.58,7435.19,7439.58,12.97,96489.53,force_direct,
177,1571923080,7438.02,7439.63,7435.71,7438.45,11.46,85200.98,force_direct,
178,1571923140,7439.15,7445.02,7437.91,7438.02,25.76,191671.76,force_direct,
179,1571923200,7444.0,7444.0,7437.67,7439.15,19.23,143031.48,force_direct,
180,1571923260,7441.5,7445.47,7439.42,7444.0,16.68,124139.91,force_direct,
181,1571923320,7441.49,7445.4,7440.82,7441.5,12.52,93213.84,force_direct,
182,1571923380,7441.02,7445.3,7440.96,7441.49,3.986,29667.12,force_direct,
183,1571923440,7441.67,7442.72,7440.82,7441.02,3.932,29262.66,force_direct,
184,1571923500,7441.92,7442.46,7439.46,7441.67,8.788,65390.84,force_direct,
185,1571923560,7439.84,7444.92,7438.38,7441.92,8.36,62207.74,force_direct,
186,1571923620,7438.43,7440.12,7436.95,7439.84,7.186,53455.69,force_direct,
187,1571923680,7437.46,7440.51,7436.94,7438.43,26.66,198342.38,force_direct,
188,1571923740,7437.41,7440.85,7436.94,7437.46,18.09,134583.17,force_direct,
189,1571923800,7440.42,7440.42,7435.0,7437.41,33.31,247734.81,force_direct,
190,1571923860,7444.38,7444.59,7437.2,7440.42,34.71,258259.53,force_direct,
191,1571923920,7434.88,7444.44,7434.51,7444.38,35.74,265817.12,force_direct,
192,1571923980,7435.67,7437.46,7434.16,7434.88,7.132,53033.67,force_direct,
193,1571924040,7438.52,7440.0,7434.09,7435.67,21.02,156274.19,force_direct,
194,1571924100,7438.85,7439.99,7434.92,7438.52,24.14,179590.96,force_direct,
195,1571924160,7439.37,7440.0,7437.02,7438.85,16.23,120759.8,force_direct,
196,1571924220,7439.81,7441.14,7437.78,7439.37,26.31,195755.94,force_direct,
197,1571924280,7437.8,7439.83,7437.56,7439.81,18.94,140883.3,force_direct,
198,1571924340,7446.28,7451.01,7437.0,7437.8,20.15,149982.38,force_direct,
199,1571924400,7447.18,7454.49,7445.89,7446.28,52.06,387835.07,force_direct,
200,1571924460,7450.12,7452.6,7445.9,7447.18,13.45,100209.66,force_direct,
201,1571924520,7456.18,7459.0,7450.12,7450.12,25.65,191248.04,force_direct,
202,1571924580,7453.73,7458.94,7453.42,7456.18,16.45,122631.95,force_direct,
203,1571924640,7455.51,7458.25,7452.77,7453.73,13.81,102955.79,force_direct,
204,1571924700,7459.88,7459.96,7455.0,7455.51,16.81,125340.29,force_direct,
205,1571924760,7464.3,7465.98,7459.88,7459.88,63.31,472410.25,force_direct,
206,1571924820,7461.0,7464.33,7456.0,7464.3,28.89,215522.35,force_direct,
207,1571924880,7456.37,7463.23,7455.46,7461.0,84.14,627691.75,force_direct,
208,1571924940,7458.65,7459.22,7456.0,7456.37,10.41,77629.72,force_direct,
209,1571925000,7456.38,7459.81,7456.0,7458.65,10.89,81211.16,force_direct,
210,1571925060,7456.93,7458.55,7456.0,7456.38,15.87,118377.82,force_direct,
211,1571925120,7455.08,7456.98,7455.0,7456.93,9.857,73493.36,force_direct,
212,1571925180,7450.17,7455.87,7447.76,7455.08,42.84,319243.53,force_direct,
213,1571925240,7450.43,7451.28,7447.78,7450.17,40.88,304542.99,force_direct,
214,1571925300,7450.0,7451.21,7450.0,7450.43,14.63,109018.34,force_direct,
215,1571925360,7449.23,7450.07,7448.0,7450.0,25.37,188993.98,force_direct,
216,1571925420,7451.27,7457.51,7449.23,7449.23,44.76,333574.1,force_direct,
217,1571925480,7450.6,7453.61,7449.23,7451.27,11.53,85876.38,force_direct,
218,1571925540,7448.0,7450.6,7447.73,7450.6,16.67,124210.28,force_direct,
219,1571925600,7455.47,7455.48,7446.88,7448.0,47.22,351811.66,force_direct,
220,1571925660,7468.99,7469.0,7455.17,7455.47,40.66,303463.63,force_direct,
221,1571925720,7461.91,7469.13,7459.09,7468.99,25.33,189052.02,force_direct,
222,1571925780,7467.82,7468.87,7461.9,7461.91,20.84,155529.45,force_direct,
223,1571925840,7463.09,7472.76,7463.09,7467.82,79.04,590283.07,force_direct,
224,1571925900,7468.43,7470.8,7463.09,7463.09,58.95,440212.72,force_direct,
225,1571925960,7479.05,7484.0,7468.43,7468.43,86.97,650329.35,force_direct,
226,1571926020,7477.82,7484.7,7467.07,7479.05,63.56,475210.47,force_direct,
227,1571926080,7480.69,7482.44,7477.77,7477.82,22.41,167597.5,force_direct,
228,1571926140,7480.7,7488.8,7473.92,7480.69,56.62,423660.24,force_direct,
229,1571926200,7482.74,7489.65,7480.29,7480.7,37.68,281980.54,force_direct,
230,1571926260,7482.8,7484.28,7473.48,7482.74,34.57,258575.35,force_direct,
231,1571926320,7484.39,7486.89,7481.46,7482.8,43.21,323369.95,force_direct,
232,1571926380,7486.67,7486.9,7483.8,7484.39,32.48,243158.11,force_direct,
233,1571926440,7488.82,7492.14,7485.05,7486.67,74.22,555736.36,force_direct,
234,1571926500,7482.85,7492.0,7474.98,7488.82,68.05,509198.31,force_direct,
235,1571926560,7483.92,7489.61,7478.23,7482.85,49.14,367801.44,force_direct,
236,1571926620,7485.81,7487.33,7481.53,7483.92,24.29,181786.78,force_direct,
237,1571926680,7490.98,7491.84,7483.63,7485.81,28.9,216434.53,force_direct,
238,1571926740,7497.15,7503.68,7490.89,7490.98,141.57,1061458.37,force_direct,
239,1571926800,7484.12,7499.16,7482.18,7497.15,70.82,530617.26,force_direct,
240,1571926860,7482.49,7489.48,7482.07,7484.12,29.07,217632.55,force_direct,
241,1571926920,7482.07,7485.94,7481.67,7482.49,20.47,153192.23,force_direct,
242,1571926980,7475.07,7483.83,7475.0,7482.07,78.62,588134.73,force_direct,
243,1571927040,7469.78,7477.19,7469.02,7475.07,32.32,241527.46,force_direct,
244,1571927100,7478.15,7480.0,7469.78,7469.78,24.52,183314.47,force_direct,
245,1571927160,7472.31,7479.95,7472.31,7478.15,18.91,141340.91,force_direct,
246,1571927220,7473.14,7474.99,7470.0,7472.31,23.37,174595.99,force_direct,
247,1571927280,7470.38,7475.0,7470.38,7473.14,18.25,136399.87,force_direct,
248,1571927340,7473.95,7473.95,7470.38,7470.38,18.93,141413.1,force_direct,
249,1571927400,7477.49,7478.41,7473.95,7473.95,11.25,84113.12,force_direct,
250,1571927460,7478.0,7478.41,7476.71,7477.49,22.53,168513.79,force_direct,
251,1571927520,7470.0,7478.2,7469.98,7478.0,29.65,221657.83,force_direct,
252,1571927580,7470.46,7472.0,7469.0,7470.0,38.78,289714.07,force_direct,
253,1571927640,7466.0,7473.05,7466.0,7470.46,26.51,198024.56,force_direct,
254,1571927700,7469.0,7471.64,7463.5,7466.0,30.36,226694.45,force_direct,
255,1571927760,7465.47,7470.0,7465.0,7469.0,20.14,150416.82,force_direct,
256,1571927820,7474.23,7476.53,7465.01,7465.47,36.89,275604.68,force_direct,
257,1571927880,7472.72,7476.17,7471.76,7474.23,27.25,203680.07,force_direct,
258,1571927940,7472.04,7474.0,7467.32,7472.72,26.02,194373.36,force_direct,
259,1571928000,7469.24,7475.63,7467.95,7472.04,46.96,350910.55,force_direct,
260,1571928060,7470.84,7473.9,7468.35,7469.24,21.59,161271.0,force_direct,
261,1571928120,7466.21,7471.74,7466.06,7470.84,22.69,169471.19,force_direct,
262,1571928180,7464.16,7468.49,7464.16,7466.21,39.09,291906.05,force_direct,
263,1571928240,7464.01,7464.82,7461.88,7464.16,34.23,255491.91,force_direct,
264,1571928300,7458.51,7464.52,7455.5,7464.01,37.88,282587.1,force_direct,
265,1571928360,7464.82,7464.82,7457.93,7458.51,33.22,247807.72,force_direct,
266,1571928420,7462.77,7467.0,7460.57,7464.82,21.88,163357.49,force_direct,
267,1571928480,7464.71,7465.17,7460.23,7462.77,17.53,130841.18,force_direct,
268,1571928540,7465.68,7465.68,7462.15,7464.71,25.95,193711.22,force_direct,
269,1571928600,7469.39,7470.0,7464.84,7465.68,25.31,188976.18,force_direct,
270,1571928660,7469.6,7473.13,7466.13,7469.39,15.65,116871.61,force_direct,
271,1571928720,7468.96,7471.9,7467.11,7469.6,11.25,84001.28,force_direct,
272,1571928780,7463.99,7469.37,7463.0,7468.96,12.23,91318.5,force_direct,
273,1571928840,7469.36,7470.68,7462.43,7463.99,30.68,229112.8,force_direct,
274,1571928900,7468.86,7471.35,7466.06,7469.36,18.88,141066.44,force_direct,
275,1571928960,7466.26,7469.75,7466.02,7468.86,38.5,287528.1,force_direct,
276,1571929020,7465.68,7467.68,7460.7,7466.26,25.64,191355.85,force_direct,
277,1571929080,7463.7,7467.25,7461.94,7465.68,18.46,137767.57,force_direct,
278,1571929140,7466.3,7466.63,7461.96,7463.7,19.54,145846.49,force_direct,
279,1571929200,7466.54,7468.0,7462.0,7466.3,21.19,158183.84,force_direct,
280,1571929260,7465.71,7469.75,7464.84,7466.54,14.88,111152.79,force_direct,
281,1571929320,7467.99,7469.45,7465.71,7465.71,12.5,93359.56,force_direct,
282,1571929380,7462.0,7467.99,7462.0,7467.99,22.45,167602.8,force_direct,
283,1571929440,7454.87,7462.72,7454.68,7462.0,51.91,387109.11,force_direct,
284,1571929500,7457.64,7459.92,7454.87,7454.87,17.57,131042.25,force_direct,
285,1571929560,7454.07,7458.87,7447.75,7457.64,48.04,358034.12,force_direct,
286,1571929620,7453.97,7457.98,7450.93,7454.07,30.93,230550.52,force_direct,
287,1571929680,7456.14,7456.85,7451.13,7453.97,23.67,176492.86,force_direct,
288,1571929740,7450.8,7456.14,7440.0,7456.14,108.5,807610.06,force_direct,
289,1571929800,7441.6,7450.8,7440.13,7450.8,28.63,213123.02,force_direct,
290,1571929860,7438.13,7448.26,7431.88,7441.6,109.1,811623.19,force_direct,
291,1571929920,7441.11,7441.95,7421.0,7438.13,92.89,690202.46,force_direct,
292,1571929980,7441.46,7442.98,7438.3,7441.11,25.4,189000.22,force_direct,
293,1571930040,7436.13,7441.99,7427.52,7441.46,65.84,489447.46,force_direct,
294,1571930100,7432.66,7439.82,7431.0,7436.13,33.88,251890.44,force_direct,
295,1571930160,7430.3,7436.39,7428.11,7432.66,49.97,371372.1,force_direct,
296,1571930220,7439.91,7441.45,7428.1,7430.3,35.94,267197.62,force_direct,
297,1571930280,7439.34,7443.84,7437.74,7439.91,30.85,229565.48,force_direct,
298,1571930340,7434.14,7439.83,7430.86,7439.34,27.29,202921.9,force_direct,
299,1571930400,7434.52,7437.96,7423.0,7434.14,68.92,511968.67,force_direct,
300,1571930460,7426.11,7434.6,7423.11,7434.52,48.62,361191.01,force_direct,
301,1571930520,7428.03,7430.97,7423.31,7426.11,51.58,383161.22,force_direct,
302,1571930580,7424.11,7428.22,7413.43,7428.03,103.77,769872.17,force_direct,
303,1571930640,7429.11,7429.18,7422.7,7424.11,34.87,258936.46,force_direct,
304,1571930700,7433.81,7433.81,7427.59,7429.11,35.72,265412.2,force_direct,
305,1571930760,7435.12,7437.32,7431.14,7433.81,27.81,206764.06,force_direct,
306,1571930820,7436.78,7440.65,7431.55,7435.12,26.65,198229.71,force_direct,
307,1571930880,7433.0,7436.78,7433.0,7436.78,19.86,147643.56,force_direct,
308,1571930940,7435.55,7439.88,7432.83,7433.0,12.48,92753.0,force_direct,
309,1571931000,7439.32,7439.32,7434.58,7435.55,13.68,101704.53,force_direct,
310,1571931060,7438.88,7442.28,7435.96,7439.32,18.74,139402.06,force_direct,
311,1571931120,7441.86,7444.86,7438.05,7438.88,22.67,168711.99,force_direct,
312,1571931180,7442.62,7444.86,7441.61,7441.86,11.46,85271.64,force_direct,
313,1571931240,7442.87,7444.82,7441.77,7442.62,18.22,135620.89,force_direct,
314,1571931300,7437.81,7443.95,7436.51,7442.87,49.9,371221.41,force_direct,
315,1571931360,7427.01,7441.7,7425.2,7437.81,78.41,582757.28,force_direct,
316,1571931420,7426.39,7429.06,7421.02,7427.01,33.08,245650.26,force_direct,
317,1571931480,7435.0,7437.18,7425.09,7426.39,29.81,221503.35,force_direct,
318,1571931540,7422.52,7437.19,7422.04,7435.0,37.31,277116.04,force_direct,
319,1571931600,7423.62,7426.11,7418.61,7422.52,56.05,415962.14,force_direct,
320,1571931660,7420.48,7425.37,7418.61,7423.62,39.91,296182.41,force_direct,
321,1571931720,7433.61,7435.37,7418.46,7420.48,54.2,402498.79,force_direct,
322,1571931780,7438.01,7439.71,7428.7,7433.61,40.21,298970.16,force_direct,
323,1571931840,7431.81,7439.7,7431.04,7438.01,20.31,150977.15,force_direct,
324,1571931900,7433.43,7435.62,7429.15,7431.81,29.49,219184.41,force_direct,
325,1571931960,7437.14,7438.69,7432.47,7433.43,12.3,91433.15,force_direct,
326,1571932020,7432.89,7438.65,7432.47,7437.14,12.01,89269.82,force_direct,
327,1571932080,7434.89,7436.57,7432.74,7432.89,9.289,69065.06,force_direct,
328,1571932140,7434.89,7435.99,7434.88,7434.89,9.705,72162.42,force_direct,
329,1571932200,7436.12,7436.14,7427.66,7434.89,26.06,193682.6,force_direct,
330,1571932260,7432.65,7436.12,7429.89,7436.12,18.11,134578.41,force_direct,
